Loss: 205.7870, Primary Loss: 205.7736, Reg Loss: 0.0134
Loss: 181.1514, Primary Loss: 181.1400, Reg Loss: 0.0114
Loss: 175.1422, Primary Loss: 175.1328, Reg Loss: 0.0094
Loss: 152.7375, Primary Loss: 152.7242, Reg Loss: 0.0134
Loss: 190.0800, Primary Loss: 190.0688, Reg Loss: 0.0113
Loss: 175.6858, Primary Loss: 175.6749, Reg Loss: 0.0110
Loss: 166.2326, Primary Loss: 166.2219, Reg Loss: 0.0107
Loss: 174.4006, Primary Loss: 174.3910, Reg Loss: 0.0096
Loss: 143.3212, Primary Loss: 143.3115, Reg Loss: 0.0097
Loss: 189.3030, Primary Loss: 189.2924, Reg Loss: 0.0106
Loss: 189.4925, Primary Loss: 189.4813, Reg Loss: 0.0113
Loss: 195.7079, Primary Loss: 195.6971, Reg Loss: 0.0108
Loss: 198.7746, Primary Loss: 198.7636, Reg Loss: 0.0109
Loss: 149.4216, Primary Loss: 149.4107, Reg Loss: 0.0109
Loss: 195.5694, Primary Loss: 195.5578, Reg Loss: 0.0116
Loss: 177.1718, Primary Loss: 177.1619, Reg Loss: 0.0099
Loss: 170.3854, Primary Loss: 170.3749, Reg Loss: 0.0105
Loss: 161.1859, Primary Loss: 161.1746, Reg Loss: 0.0113
Loss: 163.0255, Primary Loss: 163.0130, Reg Loss: 0.0125
Loss: 145.3148, Primary Loss: 145.3039, Reg Loss: 0.0110
Loss: 162.3136, Primary Loss: 162.3030, Reg Loss: 0.0106
Loss: 192.9440, Primary Loss: 192.9329, Reg Loss: 0.0111
Loss: 173.2906, Primary Loss: 173.2805, Reg Loss: 0.0100
Loss: 162.7807, Primary Loss: 162.7695, Reg Loss: 0.0112
Loss: 176.6005, Primary Loss: 176.5889, Reg Loss: 0.0116
Loss: 193.2335, Primary Loss: 193.2229, Reg Loss: 0.0105
Loss: 209.4904, Primary Loss: 209.4793, Reg Loss: 0.0111
Loss: 171.8956, Primary Loss: 171.8838, Reg Loss: 0.0118
Loss: 184.9007, Primary Loss: 184.8896, Reg Loss: 0.0111
Loss: 170.1530, Primary Loss: 170.1400, Reg Loss: 0.0131
Loss: 161.5191, Primary Loss: 161.5053, Reg Loss: 0.0138
Loss: 157.6361, Primary Loss: 157.6236, Reg Loss: 0.0125
Loss: 144.7626, Primary Loss: 144.7522, Reg Loss: 0.0103
Loss: 165.4388, Primary Loss: 165.4269, Reg Loss: 0.0119
Loss: 163.8832, Primary Loss: 163.8705, Reg Loss: 0.0128
Loss: 177.7583, Primary Loss: 177.7460, Reg Loss: 0.0124
Loss: 178.4433, Primary Loss: 178.4306, Reg Loss: 0.0126
Loss: 184.4112, Primary Loss: 184.4001, Reg Loss: 0.0111
Loss: 200.2305, Primary Loss: 200.2198, Reg Loss: 0.0106
Loss: 155.0558, Primary Loss: 155.0437, Reg Loss: 0.0121
Loss: 165.2476, Primary Loss: 165.2350, Reg Loss: 0.0126
Loss: 165.1283, Primary Loss: 165.1168, Reg Loss: 0.0115
Loss: 147.6123, Primary Loss: 147.5993, Reg Loss: 0.0130
Loss: 166.3321, Primary Loss: 166.3188, Reg Loss: 0.0132
Loss: 152.4673, Primary Loss: 152.4557, Reg Loss: 0.0116
Loss: 146.7164, Primary Loss: 146.7033, Reg Loss: 0.0131
Loss: 161.3266, Primary Loss: 161.3145, Reg Loss: 0.0121
Loss: 169.8277, Primary Loss: 169.8153, Reg Loss: 0.0124
